Unnamed: 0,stars,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed
0,4.2,6171,48% off,13990,Godrej,5,7,720
1,4.3,2379,32% off,11548,Lloyd,5,7.5,1300
2,4.3,86950,21% off,28590,IFB,5,7,1200
3,4.3,79969,20% off,17990,SAMSUNG,5,7,700
4,4.3,86950,26% off,33990,IFB,5,8,1200
5,4.3,86950,24% off,32990,IFB,5,8,1200
6,3.8,66,50% off,22990,TCL,5,8.5,1400
7,4.2,2527,33% off,35490,BOSCH,5,8,1400
8,4.3,21423,25% off,17990,IFB,5,7,720
9,4.5,75,30% off,6990,Midea,5,6.5,1300
10,4.3,3789,34% off,9790,Godrej,5,7,1440
11,4.3,79969,25% off,19990,SAMSUNG,5,8,700
12,4.3,2379,32% off,13490,Lloyd,5,8,1400
13,4.4,39827,18% off,12990,SAMSUNG,5,8,1300
14,4.3,15074,37% off,34990,SAMSUNG,5,8,1400
15,4,158,57% off,13990,TCL,4,8.5,1200
16,4.3,3789,31% off,9490,Godrej,5,7,1400
17,4.3,86950,23% off,35990,IFB,5,8,1400
18,4.3,86950,16% off,26990,IFB,5,7,1000
19,4.3,3789,30% off,11790,Godrej,5,8,1440
20,4.1,3208,30% off,13790,Godrej,5,7,720
21,4.4,39827,26% off,14990,SAMSUNG,5,9.5,1300
22,4.2,76447,36% off,7990,realme TechLife,5,7,1400
23,4.2,2527,33% off,34490,BOSCH,5,8,1400
24,4.4,39827,20% off,13990,SAMSUNG,5,8.5,1300
25,4.3,12467,38% off,14490,Panasonic,5,6.5,700
26,4.3,2548,37% off,11900,Haier,5,8,1300
27,4.1,536,41% off,29990,Godrej,5,8,1200
28,4.2,2527,33% off,35490,BOSCH,5,8,1400
29,4.2,22155,20% off,14990,Whirlpool,5,7,740
30,4,91,25% off,7490,Midea,5,7,1300
31,4.3,86950,22% off,37990,IFB,5,9,1400
32,4.2,2527,35% off,38900,BOSCH,5,9,1200
33,4.4,39827,22% off,9690,SAMSUNG,5,6.5,1350
35,4.3,12467,20% off,19740,Panasonic,5,8,702
36,4.2,22155,19% off,15890,Whirlpool,5,7.5,740
37,4.1,19754,30% off,7999,Thomson,5,7.5,1400
41,4.3,20155,25% off,20990,SAMSUNG,5,8,700
42,4.2,24048,43% off,6790,MarQ by Flipkart,5,6,1350
43,4.3,86950,24% off,32990,IFB,5,8,1200
44,4.3,14730,36% off,7990,Voltas Beko,5,6.5,1350
45,4.2,1008,62% off,6789,InnoQ,5,7,1500
46,4.1,536,45% off,25390,Godrej,5,7,1000
47,4.3,86950,23% off,47990,IFB,5,10,1400
49,4.1,536,39% off,22990,Godrej,5,6,1000
50,4.2,22155,20% off,14490,Whirlpool,5,6.5,740
51,4.3,21423,27% off,21590,IFB,5,8,720
52,4.4,39827,27% off,11490,SAMSUNG,5,7.5,1300
53,4.3,14730,35% off,7690,Voltas Beko,5,6,1350
54,4.3,15074,36% off,34990,SAMSUNG,5,9,1400
55,4.1,995,26% off,28990,Whirlpool,5,8,1400
56,4.1,29772,21% off,22990,Whirlpool,5,9,740
57,4.3,86950,24% off,27990,IFB,5,7,1000
58,4.4,39827,22% off,10990,SAMSUNG,5,7,1350
59,4.1,3208,45% off,17990,Godrej,5,8,650
60,4.2,75,33% off,12250,Voltas Beko,5,8,1450
61,4.3,86950,23% off,35990,IFB,5,8,1400
62,4.3,21423,26% off,17590,IFB,5,7,720
63,4,1955,27% off,22990,IFB,5,6,1000
64,4.1,1255,57% off,24990,realme TechLife,5,10,1400
66,4.1,536,41% off,29990,Godrej,5,8,1200
67,4.3,15074,31% off,39990,SAMSUNG,5,9,1400
69,4.2,1008,69% off,6990,InnoQ,5,7.5,1500
70,4.4,58,25% off,27490,Panasonic,5,7,1400
72,4.1,26828,36% off,12690,realme TechLife,5,7.5,700
73,4.2,76447,39% off,8490,realme TechLife,5,7.5,1400
74,4.3,14730,37% off,8990,Voltas Beko,5,7,1350
75,4.1,536,44% off,32751,Godrej,5,9,1400
76,4.3,12467,32% off,27990,Panasonic,5,10,702
77,4.3,32615,45% off,14190,Haier,5,7,800
78,4.2,76447,44% off,9690,realme TechLife,5,8,1400
79,4.4,39,23% off,33990,Whirlpool,5,8,1400
80,4,231,39% off,16990,Godrej,5,7.5,750
83,4.3,21423,25% off,16590,IFB,5,6.5,720
84,4.3,86950,25% off,44690,IFB,5,9,1400
85,4.1,29772,22% off,16290,Whirlpool,5,6.5,740
86,4.2,1008,62% off,6789,InnoQ,5,7,1500
87,4.5,9033,27% off,14490,LG,5,8.5,1300
88,4.2,2527,39% off,30990,BOSCH,5,7,1200
89,4.2,1008,62% off,6790,InnoQ,5,7,1500
90,4.1,995,21% off,30990,Whirlpool,5,8,1400
91,4.3,14730,46% off,9590,Voltas Beko,5,7.5,1350
92,4.1,1172,45% off,12990,Voltas Beko,5,6.5,700
93,4.1,19754,27% off,7590,Thomson,5,7,1400
94,4.3,32615,45% off,16490,Haier,5,8,800
95,4.3,14730,30% off,16999,Voltas Beko,5,14,1350
96,4.2,1008,63% off,6989,InnoQ,5,7.5,1500
97,4.3,79969,28% off,23334,SAMSUNG,5,10,700
98,4.3,32615,50% off,17490,Haier,5,8,800
99,4.2,1008,65% off,8590,InnoQ,5,9.5,1500
100,4.2,1008,60% off,9790,InnoQ,5,10,1500
101,4.4,39827,8% off,9090,SAMSUNG,5,6,1300
102,4.2,1170,37% off,37990,SAMSUNG,5,9,1400
103,4.3,79969,16% off,30990,SAMSUNG,5,10,700
104,4.2,76447,47% off,9990,realme TechLife,5,8.5,1400
106,4.2,1008,65% off,8590,InnoQ,5,9.5,1500
107,4.4,27218,22% off,16990,Whirlpool,5,11,1400
108,4.3,14730,46% off,12490,Voltas Beko,5,9,1350
109,4.2,1008,60% off,9790,InnoQ,5,10,1500
110,4.3,14730,45% off,10290,Voltas Beko,5,8,1350
111,4.3,12467,17% off,13790,Panasonic,4,6,680
112,4.2,2527,36% off,35990,BOSCH,5,9,1200
113,4.3,79969,17% off,25190,SAMSUNG,5,8,700
114,4.2,5235,25% off,15999,Thomson,5,11,900
115,4.4,40687,19% off,11490,LG,5,7,1350
116,4.2,76447,43% off,13490,realme TechLife,5,12,1300
117,4.4,27218,25% off,10970,Whirlpool,5,7.5,1400
118,4.3,15074,35% off,30990,SAMSUNG,5,8,1400
119,4.1,26828,48% off,14790,realme TechLife,5,8,700
120,4.2,5235,32% off,12499,Thomson,5,8,840
121,4.1,29772,24% off,17590,Whirlpool,5,7.5,740
123,4.3,54410,46% off,6990,MarQ by Flipkart,5,6.5,1350
124,4.3,54410,46% off,7490,MarQ by Flipkart,5,7,1350
125,4.2,1008,62% off,6789,InnoQ,5,7,1500
126,4.3,1258,28% off,35990,Haier,5,9,1400
127,4.1,19754,30% off,8999,Thomson,5,8,1400
128,4.3,12467,41% off,14990,Panasonic,5,7,700
129,4.3,14730,28% off,14990,Voltas Beko,5,12,1350
130,4.5,5680,30% off,13990,LG,5,8,1300
131,4.2,82,26% off,23500,BOSCH,5,8,680
132,4,158,58% off,14990,TCL,5,9.5,1400
133,4.4,27218,24% off,12490,Whirlpool,5,8,1400
134,4.2,5235,33% off,11999,Thomson,5,7.5,840
135,4.2,2527,26% off,45490,BOSCH,5,10,1200
136,4.3,70731,34% off,17990,LG,5,7,740
137,4.3,54410,32% off,6790,MarQ by Flipkart,5,6,1350
138,4.2,13077,48% off,12290,realme TechLife,5,8,700
139,4.2,22155,19% off,15890,Whirlpool,5,7.5,740
140,4.4,27218,23% off,13290,Whirlpool,5,8.5,1400
142,4.1,1186,55% off,15899,Acer,5,7.5,700
143,4.4,22254,30% off,26990,LG,5,7,1200
144,4.4,742,31% off,37990,SAMSUNG,5,9,1400
145,4.5,5680,30% off,13990,LG,5,8,1300
146,4.2,76447,47% off,9990,realme TechLife,5,8.5,1400
147,4.2,28947,10% off,6490,ONIDA,1,9,780
148,4.2,2527,33% off,34490,BOSCH,5,8,1400
149,4.3,3789,34% off,9790,Godrej,5,7,1440
150,4.2,2527,33% off,35490,BOSCH,5,8,1400
151,4.4,22254,5% off,37990,LG,5,9,1400
153,4.4,22254,25% off,32990,LG,5,8,1400
154,4.2,5235,32% off,12499,Thomson,5,8,840
155,4.3,3789,34% off,10490,Godrej,5,7.5,1440
156,4.1,1172,47% off,13990,Voltas Beko,5,7,700
158,4.4,39827,26% off,14990,SAMSUNG,5,9.5,1300
159,4.3,2379,32% off,11548,Lloyd,5,7.5,1300
160,4.2,5235,25% off,15999,Thomson,5,11,900
161,4.3,8264,39% off,8190,MOTOROLA,5,7,1350
162,4.1,995,26% off,25990,Whirlpool,5,7,1000
164,4.4,27218,25% off,10970,Whirlpool,5,7.5,1400
165,4.3,14730,46% off,9590,Voltas Beko,5,7.5,1350
166,4.3,15074,35% off,30990,SAMSUNG,5,8,1400
167,4.2,5235,26% off,14999,Thomson,5,10,900
168,4.4,4496,32% off,29990,LG,5,7,1200
169,4.3,14730,32% off,16490,Voltas Beko,5,14,1350
170,4.1,29772,21% off,22990,Whirlpool,5,9,740
171,4.3,14730,33% off,13690,Voltas Beko,5,10,1350
172,4.4,4496,32% off,35990,LG,5,9,1200
173,4.2,5235,26% off,13999,Thomson,5,9,900
174,4.4,205,23% off,32990,LG,5,10,780
175,4.1,536,39% off,22990,Godrej,5,6,1000
177,4.1,19754,26% off,8499,Thomson,5,8,1400
179,4.3,14730,45% off,10990,Voltas Beko,5,8.5,1350
180,4.3,2548,42% off,11990,Haier,5,8.5,1300
181,4.2,903,56% off,19490,Voltas Beko,5,10,700
183,4.3,8264,40% off,10190,MOTOROLA,5,8.5,1350
184,4.4,4496,34% off,29990,LG,5,7,1200
185,4.3,188,23% off,27990,LG,5,9,780
