",stars,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed"
"0,4.2,""6,171 Ratings "",48% off,""â‚¹13,990"",Godrej,5,7 kg,720 rpm"
"1,4.3,""2,379 Ratings "",32% off,""â‚¹11,548"",Lloyd,5,7.5 kg,1300 rpm"
"2,4.3,""86,950 Ratings "",21% off,""â‚¹28,590"",IFB,5,7 kg,1200 RPM"
"3,4.3,""79,969 Ratings "",20% off,""â‚¹17,990"",SAMSUNG,5,7 kg,700 rpm"
"4,4.3,""86,950 Ratings "",26% off,""â‚¹33,990"",IFB,5,8 kg,1200 RPM"
"5,4.3,""86,950 Ratings "",24% off,""â‚¹32,990"",IFB,5,8 kg,1200 RPM"
"6,3.8,66 Ratings ,50% off,""â‚¹22,990"",TCL,5,8.5 kg,1400 rpm"
"7,4.2,""2,527 Ratings "",33% off,""â‚¹35,490"",BOSCH,5,8 kg,1400 rpm"
"8,4.3,""21,423 Ratings "",25% off,""â‚¹17,990"",IFB,5,7 kg,720 RPM"
"9,4.5,75 Ratings ,30% off,""â‚¹6,990"",Midea,5,6.5 kg,1300 RPM"
"10,4.3,""3,789 Ratings "",34% off,""â‚¹9,790"",Godrej,5,7 kg,1440 rpm"
"11,4.3,""79,969 Ratings "",25% off,""â‚¹19,990"",SAMSUNG,5,8 kg,700 rpm"
"12,4.3,""2,379 Ratings "",32% off,""â‚¹13,490"",Lloyd,5,8 kg,1400 RPM"
"13,4.4,""39,827 Ratings "",18% off,""â‚¹12,990"",SAMSUNG,5,8 kg,1300 RPM"
"14,4.3,""15,074 Ratings "",37% off,""â‚¹34,990"",SAMSUNG,5,8 kg,1400 rpm"
"15,4,158 Ratings ,57% off,""â‚¹13,990"",TCL,4,8.5 kg,1200 rpm"
"16,4.3,""3,789 Ratings "",31% off,""â‚¹9,490"",Godrej,5,7 kg,1400 rpm"
"17,4.3,""86,950 Ratings "",23% off,""â‚¹35,990"",IFB,5,8 kg,1400 RPM"
"18,4.3,""86,950 Ratings "",16% off,""â‚¹26,990"",IFB,5,7 kg,1000 rpm"
"19,4.3,""3,789 Ratings "",30% off,""â‚¹11,790"",Godrej,5,8 kg,1440 rpm"
"20,4.1,""3,208 Ratings "",30% off,""â‚¹13,790"",Godrej,5,7 kg,720 RPM"
"21,4.4,""39,827 Ratings "",26% off,""â‚¹14,990"",SAMSUNG,5,9.5 kg,1300 rpm"
"22,4.2,""76,447 Ratings "",36% off,""â‚¹7,990"",realme TechLife,5,7 kg,1400 RPM"
"23,4.2,""2,527 Ratings "",33% off,""â‚¹34,490"",BOSCH,5,8 kg,1400 rpm"
"24,4.4,""39,827 Ratings "",20% off,""â‚¹13,990"",SAMSUNG,5,8.5 kg,1300 rpm"
"25,4.3,""12,467 Ratings "",38% off,""â‚¹14,490"",Panasonic,5,6.5 kg,700 rpm"
"26,4.3,""2,548 Ratings "",37% off,""â‚¹11,900"",Haier,5,8 Kg,1300 rpm"
"27,4.1,536 Ratings ,41% off,""â‚¹29,990"",Godrej,5,8 kg,1200 RPM"
"28,4.2,""2,527 Ratings "",33% off,""â‚¹35,490"",BOSCH,5,8 kg,1400 rpm"
"29,4.2,""22,155 Ratings "",20% off,""â‚¹14,990"",Whirlpool,5,7 kg,740 rpm"
"30,4,91 Ratings ,25% off,""â‚¹7,490"",Midea,5,7 kg,1300 RPM"
"31,4.3,""86,950 Ratings "",22% off,""â‚¹37,990"",IFB,5,9 kg,1400 RPM"
"32,4.2,""2,527 Ratings "",35% off,""â‚¹38,900"",BOSCH,5,9 kg,1200 rpm"
"33,4.4,""39,827 Ratings "",22% off,""â‚¹9,690"",SAMSUNG,5,6.5 kg,1350 rpm"
"34,4.3,,41% off,""â‚¹12,790"",Haier,5,6.5 kg,800 rpm"
"35,4.3,""12,467 Ratings "",20% off,""â‚¹19,740"",Panasonic,5,8 kg,702 rpm"
"36,4.2,""22,155 Ratings "",19% off,""â‚¹15,890"",Whirlpool,5,7.5 kg,740 rpm"
"37,4.1,""19,754 Ratings "",30% off,""â‚¹7,999"",Thomson,5,7.5 kg,1400 RPM"
"38,4.1,""2,236 Ratings "",26% off,""â‚¹5,490"",Voltas Beko,7.5 kg,Pulsator,No"
"39,3.9,,,""â‚¹29,990"",Lloyd,5,8.5 kg,710 rpm"
"40,4.5,75 Ratings ,28% off,""â‚¹7,890"",Midea,7 kg,Pulsator,No"
"41,4.3,""20,155 Ratings "",25% off,""â‚¹20,990"",SAMSUNG,5,8 kg,700 rpm"
"42,4.2,""24,048 Ratings "",43% off,""â‚¹6,790"",MarQ by Flipkart,5,6 kg,1350 rpm"
"43,4.3,""86,950 Ratings "",24% off,""â‚¹32,990"",IFB,5,8 kg,1200 RPM"
